HandRight.X;HandRight.Y;HandRight.Z;ElbowRight.X;ElbowRight.Y;ElbowRight.Z;Head.X;Head.Y;Head.Z;
0.2395868;0.08276578;3.69409;0.1848332;-0.1404952;3.6764;-0.1464692;0.1953609;3.803775;
0.2387975;0.08070825;3.694804;0.1762074;-0.1643416;3.669319;-0.1444014;0.1959569;3.804798;
0.2396809;0.08273856;3.694738;0.1778074;-0.1650235;3.669557;-0.1446445;0.1957642;3.804635;
0.2399945;0.07784498;3.687;0.1731317;-0.1444044;3.673747;-0.1476379;0.1919048;3.803545;
0.2387443;0.07213815;3.682172;0.1728988;-0.1614553;3.670976;-0.1469644;0.1940846;3.803269;
0.2473553;0.09614029;3.681545;0.1684623;-0.1663257;3.671237;-0.1470116;0.1935754;3.806378;
0.2474256;0.09504799;3.678482;0.1704695;-0.1677112;3.667548;-0.1482938;0.1939587;3.805181;
0.2422641;0.07136446;3.665335;0.1651853;-0.1519507;3.657416;-0.1501145;0.1942401;3.809572;
0.286299;0.1429081;3.697643;0.1765248;-0.1154217;3.653255;-0.1501693;0.1922963;3.801714;
0.2909898;0.155027;3.697797;0.1607455;-0.103575;3.659774;-0.158869;0.1929672;3.805556;
0.2597088;0.2014386;3.780977;0.156042;-0.09716907;3.656212;-0.1536988;0.1971746;3.801713;
0.2464267;0.1744934;3.696389;0.1470033;-0.07155339;3.641455;-0.1528793;0.1970034;3.801877;
0.2364487;0.2280576;3.696857;0.1644441;-0.02033875;3.624065;-0.1543886;0.1975879;3.800832;
0.2072728;0.2534296;3.678617;0.1606445;-0.009678707;3.625145;-0.1521192;0.1996573;3.796313;
0.1706911;0.2581625;3.66379;0.1175328;-0.004994676;3.63384;-0.1521289;0.1996528;3.796888;
0.1098922;0.3441178;3.678082;0.1155084;0.05947913;3.605918;-0.1516716;0.195624;3.791692;
0.08760969;0.3112072;3.644949;0.1043605;0.02077951;3.612075;-0.1509189;0.1958274;3.793936;
0.0701679;0.2424977;3.634391;0.09916806;0.02797814;3.609719;-0.1473343;0.1916742;3.794916;
0.03545885;0.337472;3.613667;0.09185632;0.05809667;3.593983;-0.1371739;0.1944172;3.794014;
-0.004606381;0.3256926;3.583591;0.08839734;0.05438111;3.606354;-0.1090544;0.212731;3.789889;
-0.1166767;0.3280358;3.563521;0.06334551;0.1079243;3.61507;-0.1029509;0.237156;3.770079;
-0.1222584;0.3290127;3.565016;0.05964536;0.10971;3.609787;-0.1018891;0.2414408;3.765333;
-0.133276;0.3021587;3.558107;0.06899314;0.1045153;3.617314;-0.10578;0.2375912;3.763824;
-0.1400781;0.2905306;3.534388;0.06537674;0.1053416;3.622211;-0.1178918;0.2013951;3.69975;
-0.1359272;0.2841079;3.519689;0.06292368;0.09898894;3.623603;-0.1120091;0.1970761;3.702132;
-0.1287718;0.2834916;3.522191;0.06676532;0.09454621;3.625095;-0.1126368;0.1967326;3.703429;
-0.08077094;0.3175653;3.513385;0.06584154;0.08595808;3.608752;-0.1118506;0.2058839;3.698883;
-0.09779589;0.3140713;3.572456;0.06596085;0.08089089;3.606837;-0.1024876;0.2123521;3.712239;
-0.0315821;0.2829148;3.606249;0.1125478;0.07739894;3.610446;-0.1078173;0.2081098;3.806;
0.007035283;0.3349802;3.617878;0.1115864;0.08147362;3.613161;-0.1111999;0.2055785;3.810175;
0.05961456;0.2506098;3.62376;0.1299147;0.07027546;3.624121;-0.1186301;0.2003767;3.803537;
0.07628419;0.3533942;3.601193;0.121095;0.07481968;3.652592;-0.1368314;0.186619;3.783134;
0.1450677;0.3719209;3.6577;0.1493631;0.07668068;3.649783;-0.1365403;0.1871531;3.782754;
0.1780869;0.2026721;3.645602;0.1673163;0.03904426;3.677804;-0.1349476;0.1838143;3.785938;
0.2573135;0.3110298;3.635752;0.1730194;0.03047655;3.677578;-0.1383125;0.1874588;3.784516;
0.2999148;0.2606943;3.716893;0.1774832;0.02154338;3.680829;-0.1409977;0.1897114;3.785975;
0.333399;0.2423672;3.764358;0.1904968;8.838205E-05;3.685844;-0.1415105;0.1900254;3.78622;
0.3645903;0.232419;3.84372;0.1868916;0.02188436;3.747978;-0.1591101;0.1916397;3.794863;
0.3898979;0.2232577;3.791444;0.2069965;-0.04464092;3.686978;-0.1644941;0.1995708;3.791656;
0.4031936;0.1598655;3.816173;0.208624;-0.06198456;3.688638;-0.1656386;0.1990943;3.792335;
0.4075227;0.1327551;3.817456;0.009730374;-0.358826;3.669075;-0.1671988;0.1991508;3.790135;
0.3459532;0.0513175;3.74375;0.009182882;-0.3574847;3.669943;-0.1703584;0.1965118;3.786751;
0.3861283;0.03992394;3.753055;0.1620717;-0.2192359;3.712412;-0.1739069;0.1958977;3.786441;
0.4023994;0.1464543;3.813507;0.1715222;-0.2079744;3.721205;-0.1739073;0.1955854;3.787305;
0.3797519;0.08819354;3.809869;0.1803054;-0.2092464;3.729423;-0.1723967;0.1965048;3.787195;
0.4081475;0.162826;3.823734;0.1819238;-0.2065051;3.727637;-0.1716852;0.1965931;3.787361;
0.325891;0.1094015;3.782095;0.1859894;-0.1968752;3.711428;-0.1669197;0.1971658;3.786124;
0.1589672;-0.04410687;3.680241;-0.0006445476;-0.3563303;3.673958;-0.1541251;0.2002484;3.794092;
0.175156;-0.07357489;3.687664;-0.004896862;-0.3536988;3.67384;-0.153997;0.1999927;3.794195;
0.1989681;0.1794915;3.670786;-0.02187373;-0.3414211;3.677997;-0.1500798;0.1984872;3.79623;
0.1690406;0.1798494;3.653616;-0.02486594;-0.3291238;3.674932;-0.1446535;0.1979351;3.802525;
0.1051067;0.2421121;3.656334;-0.03432458;-0.3075699;3.675867;-0.1444396;0.1969562;3.802607;
0.09107023;0.2264588;3.641177;-0.03457776;-0.3073105;3.675909;-0.1324368;0.2006056;3.825862;
0.02044456;0.03317425;3.652081;-0.0356004;-0.3076736;3.675286;-0.1174509;0.1736142;3.796539;
0.005285328;0.03293018;3.637765;-0.03882754;-0.3053299;3.672187;-0.1032723;0.2214619;3.787307;
0.0007011443;0.03673279;3.627358;-0.04153039;-0.3012423;3.671093;-0.1013128;0.2174575;3.773739;
-0.01006297;0.04179418;3.610291;-0.0453526;-0.296609;3.658417;-0.09926188;0.2121549;3.708275;
-0.009872915;0.03881142;3.604062;-0.04573523;-0.2993872;3.654182;-0.1005667;0.2017565;3.695037;
-0.0355282;0.04914667;3.59459;-0.0528109;-0.2920305;3.648139;-0.0962349;0.190099;3.687216;
-0.06555107;0.05541663;3.589794;-0.05922949;-0.2884912;3.641405;-0.09263474;0.1839908;3.682506;
-0.06632109;0.05953561;3.589869;-0.06030617;-0.2847586;3.639539;-0.09218693;0.1846488;3.68205;
-0.06652825;0.0564887;3.590354;-0.05943544;-0.2882566;3.638193;-0.09604244;0.189402;3.679327;
-0.01222945;0.0409902;3.591535;-0.05406597;-0.2962855;3.643831;-0.1009485;0.2005437;3.678137;
-0.02835638;0.04239817;3.603614;-0.05474695;-0.2989258;3.650903;-0.1015247;0.2127335;3.690989;
-0.01003191;0.03629611;3.613145;-0.0545826;-0.2997691;3.651964;-0.1006476;0.2282676;3.71774;
-0.005883817;0.03719636;3.617528;-0.05168074;-0.2989851;3.654615;-0.1072037;0.1916096;3.785048;
0.01870044;0.04288508;3.613759;-0.04814578;-0.2981451;3.654841;-0.1072729;0.1906305;3.783546;
0.02896255;0.03177905;3.636636;-0.04690744;-0.3062398;3.664633;-0.1150683;0.1786183;3.789197;
0.1550672;0.1902585;3.653434;-0.04557332;-0.3053111;3.667309;-0.1198517;0.1962158;3.813369;
0.08191341;0.02183537;3.647433;-0.03621705;-0.3046494;3.667604;-0.1198591;0.1970532;3.813176;
0.2303162;0.1846307;3.675004;0.01299974;-0.360505;3.630812;-0.1310746;0.1904909;3.791296;
0.1953176;0.06732722;3.663435;-0.02725921;-0.33875;3.660514;-0.1322387;0.1908282;3.791696;
