HandRight.X;HandRight.Y;HandRight.Z;ElbowRight.X;ElbowRight.Y;ElbowRight.Z;HipCenter.X;HipCenter.Y;HipCenter.Z;HandLeft.X;HandLeft.Y;HandLeft.Z;ElbowLeft.X;ElbowLeft.Y;ElbowLeft.Z;
-0.009159696;-0.3676052;3.335662;0.1131738;-0.3316893;3.540587;-0.07611875;-0.415316;3.548389;-0.2025806;-0.3671254;3.334895;-0.3008155;-0.307959;3.565129;
-0.01102841;-0.3676101;3.336477;0.1123105;-0.3323671;3.538409;-0.07784232;-0.4151896;3.547282;-0.2038737;-0.3667874;3.334661;-0.3018759;-0.3080342;3.562051;
-0.0121272;-0.3673165;3.335286;0.1108941;-0.3298357;3.537454;-0.07901809;-0.4153284;3.546793;-0.2045117;-0.3663009;3.335782;-0.3026242;-0.3090133;3.560758;
-0.01288407;-0.3667785;3.333765;0.1095894;-0.3283443;3.537928;-0.0809067;-0.4153972;3.546671;-0.2051531;-0.3657528;3.337502;-0.302244;-0.3092985;3.559955;
-0.0132399;-0.3660914;3.337697;0.1036148;-0.3474733;3.533383;-0.0825907;-0.4168784;3.545676;-0.2060535;-0.3659342;3.337806;-0.3025519;-0.3094645;3.560067;
-0.01629392;-0.363741;3.333608;0.1421456;-0.3454763;3.537035;-0.08272339;-0.4168043;3.545643;-0.2060319;-0.3658368;3.337667;-0.3026852;-0.3098454;3.560089;
-0.02282486;-0.3626988;3.337444;0.09642576;-0.3269319;3.54454;-0.08429492;-0.4166928;3.544181;-0.2069402;-0.3650746;3.337414;-0.3030174;-0.3101858;3.560237;
-0.02118431;-0.3625362;3.343147;0.09544626;-0.3263018;3.546749;-0.08506341;-0.4166164;3.544254;-0.1994962;-0.3679107;3.334028;-0.3011116;-0.3129508;3.558704;
-0.02884173;-0.4053696;3.301202;0.09529701;-0.3252684;3.547052;-0.0850641;-0.416544;3.544287;-0.2000161;-0.367843;3.334134;-0.301374;-0.313286;3.560128;
-0.02966549;-0.3610716;3.344492;0.09439064;-0.3254046;3.54606;-0.08541048;-0.4168003;3.544107;-0.2009806;-0.3674175;3.336563;-0.3021269;-0.31444;3.559935;
-0.030688;-0.3613782;3.343379;0.09517812;-0.3251843;3.546113;-0.08586277;-0.4167396;3.544036;-0.2016723;-0.3674494;3.336754;-0.3021129;-0.3154202;3.558937;
-0.01101489;-0.4279796;3.294226;0.09595682;-0.3372629;3.535982;-0.0862242;-0.4169295;3.543831;-0.2021075;-0.3672975;3.337663;-0.3021565;-0.3152694;3.558921;
-0.02678239;-0.365125;3.352067;0.09686721;-0.3270792;3.543674;-0.0862873;-0.4165325;3.543668;-0.2009916;-0.3669958;3.336449;-0.3012702;-0.3184159;3.553435;
-0.02795589;-0.3655502;3.355942;0.09602374;-0.3263287;3.544715;-0.08666897;-0.4165871;3.543381;-0.202868;-0.3671347;3.337872;-0.3016786;-0.3197573;3.553884;
-0.02881902;-0.3650566;3.353666;0.09594603;-0.3262804;3.54531;-0.08725332;-0.4167947;3.543065;-0.2009699;-0.3664888;3.334031;-0.3022149;-0.3186896;3.553845;
-0.02866458;-0.3666851;3.353906;0.09559686;-0.3252361;3.544936;-0.08750819;-0.4169762;3.543145;-0.2025248;-0.3662492;3.335511;-0.3023473;-0.3172929;3.554525;
-0.04107913;-0.3814941;3.29864;0.0944654;-0.3233301;3.547703;-0.0876259;-0.4169989;3.543148;-0.2029454;-0.374512;3.34469;-0.3033212;-0.3167773;3.558783;
-0.02830173;-0.3633045;3.333157;0.09440029;-0.3236402;3.548433;-0.08801164;-0.4170082;3.542998;-0.2056918;-0.3719868;3.344042;-0.3036927;-0.3161926;3.558868;
-0.02925196;-0.3634309;3.336444;0.09432557;-0.3238022;3.550455;-0.08812362;-0.4169487;3.542696;-0.2056375;-0.3713557;3.343946;-0.3043065;-0.3157762;3.559727;
-0.02936657;-0.364668;3.336846;0.0955148;-0.3198946;3.550267;-0.08817375;-0.4175798;3.541998;-0.2069101;-0.3685549;3.342549;-0.3040761;-0.3154014;3.560145;
0.03980812;-0.3813944;3.402873;0.09588696;-0.3210233;3.551873;-0.08833285;-0.4176386;3.54187;-0.1949347;-0.3663331;3.323051;-0.3042018;-0.3151996;3.558526;
-0.04160118;-0.3832375;3.312707;0.09583837;-0.3207446;3.551931;-0.0883365;-0.4176876;3.541878;-0.1930719;-0.3665113;3.325974;-0.3043233;-0.3150434;3.558263;
-0.04188938;-0.3566104;3.342787;0.09583981;-0.3210303;3.552055;-0.08845487;-0.4179223;3.541814;-0.1922247;-0.3664052;3.323052;-0.3043355;-0.3149018;3.557486;
-0.04100184;-0.3557996;3.333843;0.09349758;-0.3232877;3.548075;-0.08883579;-0.4182731;3.541761;-0.1966913;-0.3668185;3.328752;-0.3063617;-0.3148543;3.559484;
-0.03992417;-0.3581996;3.332513;0.09366617;-0.3239732;3.547203;-0.08917609;-0.4186397;3.541937;-0.196308;-0.3668401;3.328388;-0.3059951;-0.3152255;3.55919;
-0.08395299;-0.3633001;3.299752;0.09400059;-0.3251007;3.547271;-0.08917717;-0.4186384;3.54192;-0.1981259;-0.3662286;3.333473;-0.3055411;-0.315358;3.559259;
-0.02818972;-0.3640332;3.343911;0.09420987;-0.3239735;3.548393;-0.08905108;-0.4186447;3.541874;-0.1959344;-0.3690083;3.336238;-0.304959;-0.3156217;3.559237;
