HandRight.X;HandRight.Y;HandRight.Z;HipCenter.X;HipCenter.Y;HipCenter.Z;ElbowRight.X;ElbowRight.Y;ElbowRight.Z;;Hand Rechts;X [m];Y [m];Z [m]
0.1496612;-0.4690762;3.574426;-0.04233821;-0.4159915;3.648616;0.1657757;-0.3116429;3.816323;;Nullpunkt;0.09658007;-0.424726695;3.554902363
0.1509671;-0.4915941;3.547526;-0.04362204;-0.4159982;3.6499;0.1591188;-0.3234853;3.782842;;Max Abw. [m];0.08320483;0.127327095;0.100877363
0.1504966;-0.4424926;3.555196;-0.04476805;-0.4161614;3.650997;0.1649157;-0.3002263;3.803654;;Std. Abw [m];0.02942429;0.03979139;0.028413925
0.151533;-0.4456955;3.55903;-0.0450298;-0.4161951;3.651402;0.1660595;-0.3020096;3.807192;;;;;
0.1144355;-0.4131934;3.581265;-0.04556377;-0.4159233;3.65192;0.1745907;-0.2856168;3.834203;;Hüfte;X [m];Y [m];Z [m]
0.1016881;-0.4424366;3.533769;-0.04659361;-0.4158315;3.652713;0.1633101;-0.3149223;3.786462;;Nullpunkt;-0.056690208;-0.4172968;3.645381853
0.08446853;-0.4853413;3.468585;-0.04704569;-0.4170828;3.653178;0.1374713;-0.3542872;3.721755;;Max Abw. [m];0.014351998;0.0043339;0.010256147
0.1232339;-0.42331;3.5509;-0.04761669;-0.4169697;3.653452;0.1634637;-0.2888322;3.804397;;Std. Abw [m];0.002807292;0.001472323;0.003731213
0.1081374;-0.4286527;3.561053;-0.04840979;-0.4177568;3.653672;0.1636467;-0.2881708;3.806993;;;;;
0.1082523;-0.4524823;3.531222;-0.04930957;-0.4174135;3.654284;0.1520477;-0.3072632;3.776392;;Ellb. Rechts;X [m];Y [m];Z [m]
0.1332507;-0.4097072;3.58317;-0.05048417;-0.4157804;3.655088;0.1741734;-0.285598;3.842467;;Nullpunkt;0.165279316;-0.299121777;3.818202473
0.1374084;-0.4138416;3.585004;-0.0504449;-0.4154659;3.655058;0.1773788;-0.2894613;3.844241;;Max Abw. [m];0.027808016;0.055165423;0.096447473
0.1178372;-0.4567967;3.535596;-0.05070247;-0.4148392;3.655434;0.1605806;-0.3122465;3.781265;;Std. Abw [m];0.006460267;0.013874719;0.016592853
0.1088198;-0.4018051;3.590506;-0.05083269;-0.4146764;3.655502;0.1703585;-0.2728718;3.841847;;;;;
0.1033888;-0.4636257;3.536232;-0.05229811;-0.416223;3.654886;0.1582039;-0.3194366;3.779106;;;;;
0.1131798;-0.4560634;3.542616;-0.05251621;-0.4159119;3.6549;0.1579944;-0.3117483;3.787704;;;;;
0.1418979;-0.4581152;3.548394;-0.052643;-0.4163773;3.654933;0.1622096;-0.3157486;3.798105;;;;;
0.1293821;-0.4594658;3.551717;-0.05288701;-0.4151201;3.654986;0.1613198;-0.3147202;3.798831;;;;;
0.1021626;-0.4377571;3.542516;-0.05289689;-0.4146969;3.655138;0.1602103;-0.3160344;3.799343;;;;;
0.1131013;-0.4008656;3.577987;-0.05304227;-0.4152335;3.655412;0.1683722;-0.2879375;3.840189;;;;;
0.1123907;-0.4040931;3.577524;-0.05322041;-0.4153654;3.655343;0.1676454;-0.2915095;3.839926;;;;;
0.1126532;-0.4123318;3.574946;-0.05350985;-0.4160614;3.655277;0.1679974;-0.2999538;3.837532;;;;;
0.1135548;-0.4135567;3.576347;-0.0535677;-0.4160661;3.655148;0.1688906;-0.3010515;3.838989;;;;;
0.1137455;-0.4272982;3.566527;-0.05382915;-0.4151027;3.655521;0.1691332;-0.3147483;3.82929;;;;;
0.07909676;-0.4584264;3.555025;-0.05427546;-0.4157754;3.655209;0.1527762;-0.3234145;3.799223;;;;;
0.08086407;-0.4598795;3.55618;-0.05393684;-0.4151331;3.655209;0.1538788;-0.3235835;3.800068;;;;;
0.08797225;-0.4465135;3.576086;-0.05418454;-0.4142597;3.655638;0.1612353;-0.3090121;3.819263;;;;;
0.08778693;-0.4463048;3.577005;-0.05442464;-0.4143214;3.655018;0.1609829;-0.3087714;3.820161;;;;;
0.08940574;-0.4503687;3.575409;-0.05437685;-0.4147521;3.654513;0.1624547;-0.3125057;3.81841;;;;;
0.09566396;-0.4533471;3.590188;-0.05452054;-0.4148346;3.654034;0.1689482;-0.3155156;3.833218;;;;;
0.08571099;-0.4497734;3.561162;-0.05427152;-0.4147199;3.65385;0.1590558;-0.3117412;3.804051;;;;;
0.08581199;-0.4521494;3.558524;-0.05435476;-0.4148646;3.653557;0.1591706;-0.3140861;3.801418;;;;;
0.08533945;-0.4537889;3.56014;-0.05465894;-0.4149975;3.653218;0.1587068;-0.3157153;3.802992;;;;;
0.07984004;-0.4481843;3.558489;-0.05441143;-0.4156218;3.65252;0.1589452;-0.3162102;3.803248;;;;;
0.0798732;-0.4466846;3.559484;-0.05443788;-0.4155427;3.652433;0.1612294;-0.3174918;3.805135;;;;;
