HandRight.X;HandRight.Y;HandRight.Z;HipCenter.X;HipCenter.Y;HipCenter.Z;ElbowRight.X;ElbowRight.Y;ElbowRight.Z;
0.1140523;-0.5546436;3.249666;-0.1033921;-0.4083279;3.510422;0.08267578;-0.3601528;3.526938;
0.1048297;-0.5249608;3.295515;-0.1035059;-0.4082797;3.510361;0.08258406;-0.3661352;3.525311;
0.1035728;-0.528765;3.299632;-0.1038192;-0.4089071;3.50972;0.08271705;-0.3658622;3.525373;
0.10107;-0.5429119;3.297703;-0.1039147;-0.4082656;3.509707;0.08259063;-0.3655925;3.525197;
0.100641;-0.5541514;3.298249;-0.1040628;-0.4082411;3.509603;0.08246659;-0.365252;3.525607;
0.1046252;-0.5640866;3.290576;-0.1042025;-0.4081834;3.509429;0.08248886;-0.3652667;3.525608;
0.1023339;-0.5814331;3.273771;-0.1044623;-0.4084119;3.509176;0.08246774;-0.3653313;3.525511;
0.09576087;-0.5876186;3.275788;-0.1044289;-0.4084697;3.508978;0.08226722;-0.3657218;3.525397;
0.09324458;-0.599958;3.281874;-0.1043177;-0.4083976;3.508809;0.08240635;-0.3655186;3.525427;
0.09271417;-0.6019012;3.282654;-0.1041923;-0.4083841;3.508407;0.08244484;-0.3655899;3.525295;
0.0911857;-0.5846102;3.295831;-0.1039222;-0.4081282;3.508235;0.08240974;-0.3655851;3.525124;
0.09385489;-0.6045015;3.282098;-0.1039889;-0.4084555;3.508017;0.0825239;-0.3653972;3.524125;
0.09181176;-0.5835164;3.293562;-0.10406;-0.4085599;3.507687;0.08291829;-0.3658344;3.523822;
0.09219632;-0.5806675;3.30239;-0.104005;-0.4086351;3.50737;0.08377701;-0.3654993;3.52261;
0.09189874;-0.5807421;3.300892;-0.1040236;-0.4083147;3.506885;0.08403683;-0.365228;3.522741;
0.09991115;-0.6006498;3.272731;-0.104047;-0.4084297;3.506582;0.08437677;-0.3656843;3.519269;
0.1002969;-0.6000473;3.273153;-0.1037257;-0.4087591;3.506029;0.08514848;-0.3646272;3.519668;
