HandRight.X;HandRight.Y;HandRight.Z;HipCenter.X;HipCenter.Y;HipCenter.Z;ElbowRight.X;ElbowRight.Y;ElbowRight.Z;
0.1469348;-0.1056148;2.687814;0.02733823;-0.3699152;3.234058;0.1540861;-0.06599927;2.986277;
0.1463587;-0.1051579;2.686342;0.02579419;-0.3698549;3.233164;0.1540549;-0.06586225;2.985297;
0.1458071;-0.1049081;2.683522;0.02506774;-0.3693725;3.232788;0.1540609;-0.0658561;2.984639;
0.1357933;-0.09780312;2.666246;0.02323248;-0.3692873;3.232731;0.1496412;-0.06148387;2.984681;
0.1352577;-0.09899292;2.666961;0.02278118;-0.3692749;3.23261;0.1605283;-0.1957422;3.089564;
0.1341052;-0.09804504;2.66499;0.02276319;-0.369285;3.232267;0.1604847;-0.193173;3.087535;
0.1336697;-0.09971026;2.66738;0.02021495;-0.3691846;3.232355;0.1487567;-0.06291097;2.983663;
0.1329328;-0.1009945;2.667524;0.01956088;-0.368888;3.232155;0.1483445;-0.06358846;2.98336;
0.132874;-0.1010867;2.667205;0.01952155;-0.3688394;3.231608;0.1479793;-0.06368847;2.982442;
0.1322924;-0.1001362;2.665356;0.01890745;-0.3692653;3.231426;0.1458146;-0.06247995;2.98243;
0.1322758;-0.10015;2.665301;0.01867785;-0.3693849;3.231146;0.1453269;-0.06257187;2.982307;
0.1322968;-0.1003206;2.665481;0.01810914;-0.369538;3.230948;0.156143;-0.1904;3.086024;
0.1321086;-0.09990478;2.665103;0.01759404;-0.3695571;3.230622;0.1450741;-0.06270014;2.981394;
0.131315;-0.1005909;2.663459;0.01743587;-0.3695725;3.230255;0.1451032;-0.06314254;2.980379;
0.1319876;-0.1010831;2.664943;0.01689017;-0.3698003;3.230073;0.1447942;-0.06346191;2.980318;
0.1315849;-0.09969586;2.663244;0.01595574;-0.3700324;3.229696;0.1520698;-0.2037448;3.079869;
0.1321149;-0.1048648;2.673662;0.01697412;-0.370212;3.228756;0.1443002;-0.06606207;2.979696;
0.1322965;-0.1058988;2.675586;0.01601761;-0.3702839;3.228327;0.1443638;-0.06667267;2.980152;
0.131342;-0.1011069;2.668991;0.01627917;-0.3703764;3.228027;0.1526004;-0.2048085;3.078227;
0.1310185;-0.1020124;2.669261;0.01601442;-0.3703166;3.227964;0.1434629;-0.0648184;2.979424;
0.130721;-0.1003962;2.667287;0.01523158;-0.3707558;3.227703;0.1425459;-0.06381699;2.979438;
0.130695;-0.09966349;2.666939;0.01486142;-0.3708794;3.22775;0.1423178;-0.06325912;2.979551;
0.1307977;-0.09960037;2.667079;0.0148555;-0.3709567;3.227293;0.1423099;-0.06320874;2.980019;
0.1348237;-0.1047099;2.679214;0.01460739;-0.3708875;3.22749;0.1542598;-0.2043178;3.078871;
0.1362444;-0.1046246;2.680028;0.01515798;-0.3705028;3.227299;0.1463041;-0.06606667;2.980685;
0.1363797;-0.1052856;2.679596;0.01527585;-0.3704796;3.22705;0.1558494;-0.2048522;3.078749;
0.1368465;-0.1052289;2.679041;0.01525469;-0.3705441;3.227093;0.1464286;-0.06620718;2.981468;
0.1375559;-0.1038968;2.674515;0.01544035;-0.3705963;3.226827;0.1467162;-0.06528069;2.981815;
