HandRight.X;HandRight.Y;HandRight.Z;HipCenter.X;HipCenter.Y;HipCenter.Z;ElbowRight.X;ElbowRight.Y;ElbowRight.Z;
0.1685373;-0.4336937;3.252033;-0.06478056;-0.4181522;3.653949;0.1463839;-0.3399961;3.64157;
0.1722769;-0.4011632;3.360779;-0.06519617;-0.4189516;3.654382;0.1403291;-0.3403768;3.655017;
0.1717319;-0.4319422;3.25678;-0.0650484;-0.4224584;3.654887;0.1469441;-0.3406617;3.645248;
0.1735443;-0.4330667;3.255515;-0.06466714;-0.4215664;3.655722;0.1414729;-0.3330516;3.65765;
0.1679137;-0.4039544;3.375043;-0.06464053;-0.4225414;3.656098;0.1410508;-0.333769;3.657824;
0.169961;-0.4439412;3.270209;-0.06426641;-0.4228758;3.656267;0.1390365;-0.3353814;3.65802;
0.1732192;-0.4446235;3.258647;-0.06530626;-0.4224724;3.657333;0.1392127;-0.3357812;3.657659;
0.1686853;-0.443309;3.259401;-0.06504574;-0.4227403;3.657613;0.1378048;-0.3361192;3.658945;
0.1677238;-0.442183;3.259254;-0.06491322;-0.4226732;3.657897;0.1379319;-0.3362113;3.659009;
0.1557606;-0.4135196;3.344529;-0.06489328;-0.4224626;3.658213;0.1379115;-0.33602;3.659286;
0.1543466;-0.4132633;3.34286;-0.06481612;-0.4222898;3.658679;0.1371956;-0.3361953;3.659436;
0.1539885;-0.4133179;3.344339;-0.0646722;-0.422299;3.658736;0.137133;-0.3361741;3.66048;
0.1530288;-0.4130141;3.343298;-0.06491598;-0.4222658;3.658815;0.136654;-0.3369025;3.659394;
0.151699;-0.412945;3.345414;-0.06484353;-0.4223123;3.659105;0.1592928;-0.3426785;3.640372;
0.158028;-0.4082194;3.360003;-0.06487583;-0.4224984;3.659475;0.1413691;-0.3386347;3.654869;
0.1565795;-0.4077739;3.35919;-0.06441291;-0.4222533;3.660197;0.1610465;-0.3488732;3.601246;
0.1566732;-0.4077662;3.362737;-0.06430863;-0.4222826;3.66032;0.1379738;-0.3357694;3.667932;
0.1581999;-0.4075457;3.358287;-0.06414747;-0.4226303;3.660365;0.1376094;-0.3356017;3.667882;
0.1580736;-0.4080471;3.358968;-0.06411306;-0.4228098;3.660454;0.137195;-0.3367712;3.666931;
0.1609204;-0.405764;3.364874;-0.06337537;-0.4240204;3.660812;0.136237;-0.3361257;3.667337;
0.1622235;-0.40518;3.363385;-0.06318284;-0.4242201;3.660992;0.1357953;-0.3373965;3.66672;
0.1622116;-0.4045705;3.364592;-0.06327966;-0.4243443;3.660975;0.1361892;-0.3373802;3.666888;
0.16381;-0.4035893;3.375694;-0.06306998;-0.4247569;3.661331;0.1347133;-0.3357117;3.669925;
0.1645955;-0.4035974;3.376506;-0.0621049;-0.4239055;3.661814;0.1354915;-0.3356065;3.67052;
0.164796;-0.4033144;3.371871;-0.06205781;-0.4241035;3.661675;0.1333294;-0.3374089;3.672469;
0.1653925;-0.403523;3.372499;-0.06210322;-0.4240291;3.661711;0.133719;-0.3361073;3.670777;
0.1664557;-0.4039178;3.370532;-0.0617948;-0.4239653;3.661843;0.1338435;-0.3348623;3.670644;
0.1663284;-0.4049594;3.372725;-0.06180279;-0.4239899;3.662069;0.1439752;-0.3343163;3.667019;
0.1665013;-0.405687;3.381833;-0.06176822;-0.4239519;3.662183;0.1624541;-0.3375604;3.658322;
0.1671264;-0.4054166;3.384129;-0.06179242;-0.4239829;3.66222;0.1402424;-0.3379244;3.666014;
0.1637541;-0.4007657;3.417596;-0.06141463;-0.423852;3.662442;0.1382808;-0.3387471;3.666129;
0.1723358;-0.4039563;3.37696;-0.06145386;-0.423701;3.662668;0.1369903;-0.3372632;3.666297;
0.1694847;-0.4037933;3.3873;-0.06130968;-0.4236113;3.66258;0.1367859;-0.3372422;3.666354;
0.1695554;-0.4061075;3.360713;-0.06112785;-0.424095;3.662448;0.1514235;-0.3463525;3.628622;
0.1684574;-0.4056857;3.364474;-0.06106729;-0.4243831;3.662345;0.1389764;-0.3438936;3.65699;
0.1686856;-0.4062932;3.367836;-0.06096518;-0.4249811;3.662283;0.1378619;-0.3435927;3.658006;
0.1686621;-0.4075037;3.365432;-0.06076221;-0.4248023;3.662365;0.1583255;-0.3417779;3.644319;
0.1678185;-0.4076628;3.367665;-0.06082871;-0.4248942;3.662252;0.1583709;-0.3415893;3.645044;
0.1664478;-0.4083099;3.37312;-0.06089108;-0.4245228;3.662236;0.1605268;-0.3435607;3.635296;
0.1664947;-0.407365;3.372042;-0.06118257;-0.4254226;3.661518;0.1585055;-0.3435364;3.638727;
0.1648478;-0.4071061;3.375066;-0.06119993;-0.4252872;3.661612;0.1363776;-0.336637;3.667248;
0.1628126;-0.4070525;3.371254;-0.06104247;-0.4252352;3.661499;0.1562098;-0.3430959;3.642658;
0.1620236;-0.4075673;3.374244;-0.06111109;-0.425609;3.661666;0.1593864;-0.3386958;3.648984;
0.1620118;-0.4070903;3.370704;-0.06100229;-0.4257355;3.661638;0.1439963;-0.3391633;3.651346;
0.1621469;-0.4070621;3.370641;-0.06109466;-0.4257834;3.661579;0.141812;-0.3402855;3.651618;
0.161092;-0.4095476;3.386265;-0.06114908;-0.4259193;3.661457;0.1405463;-0.3394142;3.653842;
0.1619804;-0.408558;3.382885;-0.06110393;-0.4256098;3.661264;0.139803;-0.3386669;3.654255;
0.1613613;-0.4078407;3.384619;-0.06103242;-0.4259077;3.660659;0.1382679;-0.339139;3.657022;
0.1625401;-0.4065423;3.378374;-0.06140231;-0.4261899;3.660115;0.1382905;-0.3367368;3.661098;
0.1606609;-0.4070625;3.378005;-0.0615525;-0.4232895;3.660213;0.1385466;-0.3367555;3.661087;
0.1562055;-0.411946;3.376877;-0.0617632;-0.4245335;3.659207;0.1384459;-0.3369934;3.6612;
0.1558599;-0.4110514;3.373695;-0.0618532;-0.4245308;3.659096;0.1384448;-0.3370049;3.66119;
0.155142;-0.4120742;3.368398;-0.06197505;-0.4243475;3.659234;0.1377136;-0.3366682;3.661041;
0.1556843;-0.4119871;3.367073;-0.06188115;-0.4248273;3.659105;0.1375049;-0.3339991;3.664032;
0.1552136;-0.4124132;3.36573;-0.0618776;-0.4247944;3.659108;0.137018;-0.3340584;3.664365;
0.155586;-0.4149979;3.366718;-0.06188302;-0.4245704;3.659052;0.1374899;-0.3363051;3.660521;
0.1551383;-0.4195807;3.344139;-0.06211421;-0.4244083;3.659082;0.1638325;-0.3406509;3.637212;
0.1562208;-0.4147415;3.362523;-0.0619006;-0.4243957;3.65893;0.138598;-0.3404539;3.666266;
0.1582813;-0.4137677;3.357915;-0.06148218;-0.4246813;3.658443;0.1389769;-0.3407773;3.664093;
0.1590742;-0.4136202;3.356027;-0.06138013;-0.424608;3.658433;0.1379628;-0.3400401;3.664822;
0.1594622;-0.413355;3.356334;-0.06144422;-0.4245345;3.658343;0.138021;-0.3399472;3.664979;
0.1597738;-0.4132341;3.356922;-0.06167203;-0.4248154;3.657851;0.1369901;-0.3391541;3.664345;
0.1596844;-0.4124311;3.357378;-0.06166278;-0.4249379;3.657851;0.1546726;-0.344598;3.643826;
0.1601716;-0.41747;3.343472;-0.06164106;-0.4246715;3.657837;0.1591598;-0.3412963;3.638015;
0.1597839;-0.4138974;3.356906;-0.06168618;-0.4256825;3.657116;0.1382748;-0.341857;3.66534;
0.1707216;-0.4402933;3.254787;-0.06185712;-0.4253092;3.657237;0.1614147;-0.3327206;3.654014;
0.1861575;-0.4107416;3.341112;-0.06180225;-0.4252495;3.657073;0.1474835;-0.3323527;3.661237;
0.1856857;-0.4111634;3.341429;-0.06186325;-0.4255512;3.656945;0.1443782;-0.333669;3.664753;
0.1605353;-0.4124697;3.362271;-0.06182786;-0.425559;3.656966;0.1437891;-0.3341931;3.664448;
0.1587556;-0.4130956;3.354374;-0.06197864;-0.4257019;3.656694;0.1430543;-0.3353144;3.664667;
0.1586997;-0.4150061;3.36359;-0.06202408;-0.425838;3.656557;0.1429892;-0.3373185;3.665273;
0.1595951;-0.4156112;3.360514;-0.06182249;-0.4260105;3.656644;0.1389061;-0.3353818;3.664495;
0.159906;-0.4187829;3.369835;-0.06158508;-0.4260593;3.656721;0.1390927;-0.3370188;3.663747;
0.1598714;-0.4173013;3.366893;-0.06165802;-0.4260215;3.65672;0.139014;-0.3379137;3.660485;
0.1593536;-0.4172932;3.368061;-0.06192983;-0.4256905;3.656824;0.1390059;-0.3359386;3.662432;
0.1596058;-0.41735;3.368102;-0.06189967;-0.4256433;3.656833;0.1388711;-0.336845;3.662331;
0.1596003;-0.4169436;3.367657;-0.06183523;-0.4258469;3.656942;0.1385472;-0.3384119;3.662191;
0.1609115;-0.4173548;3.365757;-0.06166485;-0.4260398;3.656773;0.1577895;-0.3372116;3.641701;
0.1622899;-0.4175436;3.354191;-0.06155913;-0.4247676;3.657301;0.1384991;-0.3335604;3.661217;
0.1621235;-0.4174001;3.35362;-0.06122395;-0.4246936;3.657428;0.1383328;-0.3332999;3.661137;
0.1621435;-0.4172949;3.354076;-0.06080978;-0.4241158;3.657854;0.1383336;-0.3342688;3.660793;
0.1617948;-0.417646;3.353712;-0.06078577;-0.4240988;3.65771;0.1393506;-0.3359532;3.65963;
0.1618012;-0.4175294;3.353501;-0.060526;-0.4244983;3.657551;0.1389363;-0.3386916;3.652375;
0.1633828;-0.4167402;3.357412;-0.06220224;-0.4290002;3.656707;0.1385821;-0.3383023;3.653607;
0.1628045;-0.415976;3.353691;-0.06211633;-0.4289146;3.656552;0.1386479;-0.3351974;3.657907;
0.1625142;-0.4158503;3.353978;-0.06186455;-0.4286294;3.656285;0.1387152;-0.3367303;3.656268;
0.1617625;-0.4154384;3.353671;-0.06208323;-0.4271403;3.65679;0.1362444;-0.3377324;3.655064;
0.1617725;-0.41517;3.353127;-0.06208542;-0.4271694;3.656805;0.1536572;-0.3340307;3.641446;
0.1627091;-0.4162042;3.351776;-0.06144039;-0.4266068;3.656829;0.138701;-0.3315401;3.65168;
0.1503231;-0.4077197;3.395304;-0.06142766;-0.4265891;3.65684;0.1565861;-0.3326554;3.635123;
0.1595276;-0.4144596;3.359442;-0.06091205;-0.4263403;3.657054;0.1447658;-0.3335835;3.645621;
0.1595507;-0.4142707;3.358889;-0.0609047;-0.4263786;3.657013;0.1453906;-0.3353285;3.644381;
0.1594519;-0.414989;3.359571;-0.06095538;-0.4263384;3.657049;0.1394231;-0.3455282;3.653776;
0.159475;-0.415021;3.359687;-0.06085465;-0.4262882;3.657241;0.1378769;-0.3394906;3.656874;
0.1562435;-0.4090564;3.378649;-0.06073094;-0.4261491;3.657341;0.1378783;-0.339305;3.658206;
0.1599956;-0.4144732;3.365839;-0.06068484;-0.4261255;3.657377;0.1376261;-0.3386801;3.659228;
0.1606371;-0.4150015;3.360758;-0.06073097;-0.4260677;3.657415;0.1373506;-0.3387995;3.65894;
0.1600568;-0.414352;3.358642;-0.06064433;-0.4263553;3.657789;0.1364216;-0.3439649;3.657208;
0.158684;-0.414867;3.352839;-0.06020579;-0.4257778;3.657978;0.1367161;-0.342519;3.658593;
0.1589381;-0.4149207;3.351648;-0.06027389;-0.4258468;3.658044;0.1358054;-0.3371065;3.661873;
0.1574334;-0.4147517;3.342762;-0.06044387;-0.4259152;3.658241;0.1360189;-0.3368249;3.661767;
0.1575808;-0.414432;3.343057;-0.06043462;-0.4259028;3.658299;0.1638801;-0.3398061;3.630457;
0.1569216;-0.4140985;3.340585;-0.06043581;-0.4258891;3.658308;0.1627412;-0.3419581;3.625761;
0.1571173;-0.4141498;3.340584;-0.06066895;-0.4259302;3.65832;0.1623821;-0.3426334;3.625262;
0.1578719;-0.4128149;3.335998;-0.06073778;-0.4262271;3.658396;0.1586659;-0.3461506;3.623219;
0.1548542;-0.4146138;3.339748;-0.06082445;-0.426908;3.658524;0.159925;-0.3460566;3.622995;
0.1561693;-0.4166542;3.34484;-0.06090926;-0.4269715;3.658535;0.1378016;-0.3367585;3.667058;
0.1576918;-0.4137048;3.328557;-0.06095186;-0.4273428;3.659034;0.136767;-0.3361917;3.665196;
0.1548788;-0.411632;3.32273;-0.06173642;-0.4275556;3.658865;0.1364738;-0.3359915;3.665084;
0.1549862;-0.4119107;3.323522;-0.06257283;-0.4274392;3.659113;0.1359844;-0.3369921;3.663617;
0.1559418;-0.4121851;3.32515;-0.06275254;-0.4279121;3.659027;0.1356896;-0.3365944;3.659802;
0.1560171;-0.4127145;3.328327;-0.06264857;-0.4277174;3.659011;0.135317;-0.3369295;3.660108;
0.1559697;-0.4124979;3.3287;-0.06273648;-0.4281593;3.658956;0.134756;-0.3374701;3.659725;
0.1552694;-0.4124643;3.328048;-0.06322999;-0.4284804;3.659156;0.1346286;-0.3375124;3.659914;
0.1570816;-0.4098546;3.319158;-0.0634917;-0.4288626;3.659162;0.1342792;-0.3377514;3.659829;
0.1566977;-0.40988;3.320831;-0.06371469;-0.4290411;3.659214;0.1345308;-0.3369423;3.658873;
0.1563898;-0.4107683;3.323178;-0.06372152;-0.429037;3.659232;0.1342969;-0.337176;3.659223;
0.1535806;-0.4102826;3.32109;-0.06364761;-0.429059;3.659153;0.1345765;-0.3373312;3.659039;
0.1536759;-0.4101558;3.320926;-0.06364691;-0.4290403;3.659137;0.1338734;-0.3370577;3.659918;
0.1540084;-0.410615;3.322294;-0.06364944;-0.4290319;3.659103;0.1338405;-0.3371486;3.659598;
0.1540694;-0.4106971;3.32226;-0.06364492;-0.429231;3.658917;0.1337804;-0.3368883;3.660131;
0.1526567;-0.4139445;3.333113;-0.06364758;-0.4292966;3.658956;0.1336378;-0.3367659;3.660245;
0.1543413;-0.4147105;3.323395;-0.0631431;-0.4289587;3.658983;0.1294505;-0.3468789;3.65571;
0.1545471;-0.4148142;3.347895;-0.06413259;-0.4307899;3.657878;0.130851;-0.3437257;3.656354;
0.1549065;-0.4122361;3.337876;-0.0640975;-0.4309092;3.65781;0.1311111;-0.3433569;3.656232;
0.1547574;-0.412274;3.338367;-0.06450742;-0.4302497;3.656554;0.1307252;-0.3429825;3.656008;
0.1555046;-0.4099981;3.321196;-0.06421275;-0.4302598;3.656699;0.1306623;-0.3426516;3.656451;
0.1536285;-0.4101602;3.327205;-0.06421597;-0.4301054;3.656735;0.1176476;-0.3729646;3.639748;
0.1538008;-0.4103926;3.326779;-0.06392822;-0.4302562;3.656462;0.1298701;-0.341765;3.671192;
0.1613249;-0.4372484;3.216828;-0.06389533;-0.4298585;3.656048;0.16012;-0.3503499;3.620411;
0.1536013;-0.4105693;3.325748;-0.06380403;-0.4300807;3.656072;0.1314188;-0.3410587;3.662456;
0.1816109;-0.4252706;3.262256;-0.06402974;-0.4296568;3.656074;0.1431969;-0.3513533;3.633239;
0.1519993;-0.4144231;3.311894;-0.06370766;-0.4304008;3.655832;0.1358603;-0.3362433;3.653386;
