HandRight.X;HandRight.Y;HandRight.Z;Head.X;Head.Y;Head.Z;
0.04391018;-0.5303694;2.538748;-0.1090942;0.3659069;2.792965;
0.04262727;-0.5272368;2.536534;-0.1089481;0.3668604;2.793872;
0.0374604;-0.5250448;2.537078;-0.1085039;0.3673879;2.799793;
0.03250244;-0.5221612;2.535268;-0.1106625;0.3683777;2.802138;
0.02988786;-0.5245938;2.535964;-0.1107463;0.3686627;2.803053;
0.02736185;-0.5263467;2.536661;-0.1111151;0.3681842;2.804788;
0.0254449;-0.5278257;2.539519;-0.1118597;0.368381;2.804286;
0.02381209;-0.5299848;2.543723;-0.1121243;0.3683165;2.806248;
0.02365648;-0.5315352;2.549136;-0.1134115;0.3664175;2.810339;
0.024102;-0.5319252;2.555443;-0.1131416;0.3649669;2.810332;
0.0243962;-0.5290725;2.559636;-0.113282;0.3645054;2.81145;
0.02747393;-0.5280037;2.564564;-0.1143966;0.3631826;2.812288;
0.03045803;-0.5303788;2.567289;-0.1152007;0.3623622;2.812723;
0.03278693;-0.5317627;2.569653;-0.1157151;0.3621677;2.814429;
0.03666449;-0.5378123;2.573093;-0.1179805;0.3635051;2.818671;
0.04059769;-0.5396237;2.5752;-0.1173926;0.3624726;2.818348;
0.05121475;-0.5451313;2.574239;-0.1145173;0.3619881;2.81833;
0.07806999;-0.5446196;2.56482;-0.1152747;0.3627576;2.817998;
0.123885;-0.5408564;2.542217;-0.1175304;0.3618424;2.817223;
0.1551688;-0.5195034;2.534132;-0.1173707;0.3618442;2.817912;
0.2010649;-0.5006175;2.518606;-0.1146834;0.3617564;2.816691;
0.2483799;-0.4555601;2.505155;-0.1144193;0.3618604;2.81609;
0.3010544;-0.4222232;2.50639;-0.1152067;0.3623517;2.816394;
0.336315;-0.3817565;2.507213;-0.1155716;0.3634937;2.816591;
0.3783294;-0.3366177;2.513381;-0.114506;0.3636309;2.816251;
0.4105457;-0.2799189;2.522774;-0.114454;0.3634951;2.816303;
0.4337034;-0.235404;2.527603;-0.1142238;0.3637608;2.816517;
0.4132974;-0.1712261;2.536892;-0.1134339;0.3632836;2.817775;
0.4121306;-0.1154359;2.555521;-0.1145529;0.3636603;2.819433;
0.3996151;-0.08142766;2.549858;-0.1160162;0.3629025;2.824109;
0.4030944;-0.0114638;2.55854;-0.1164015;0.3627085;2.824559;
0.4056648;0.02381737;2.559861;-0.1164379;0.362399;2.824715;
0.3707289;0.06771598;2.56457;-0.1158547;0.3626477;2.828477;
0.3647829;0.1132107;2.561399;-0.1163989;0.3625484;2.828586;
0.3389584;0.1643289;2.543355;-0.1149665;0.3648524;2.831124;
0.3261151;0.2182914;2.544904;-0.1138268;0.3649052;2.832064;
0.3020199;0.2320862;2.540098;-0.1128553;0.3648342;2.833002;
0.264298;0.2494213;2.530648;-0.1123509;0.3669424;2.835065;
0.2103237;0.2435563;2.518867;-0.108894;0.3659405;2.838589;
0.1247017;0.2331246;2.482952;-0.1086518;0.3657405;2.838831;
0.06712967;0.1742567;2.490099;-0.1069662;0.3654194;2.839921;
0.04848146;0.1549586;2.478029;-0.1068946;0.3655771;2.840008;
-0.05075723;0.1373468;2.44758;-0.10345;0.365822;2.844477;
-0.0909805;0.09434585;2.435576;-0.1026404;0.3661301;2.844446;
-0.1220335;0.03170851;2.438388;-0.1026905;0.3660107;2.844184;
-0.1590404;-0.02595638;2.426021;-0.102462;0.366647;2.844563;
-0.1901377;-0.0958578;2.42041;-0.1020207;0.3670647;2.844061;
-0.1678138;-0.1404506;2.418522;-0.101106;0.366699;2.843255;
-0.1598237;-0.1957768;2.413734;-0.1017847;0.3683285;2.843506;
-0.118013;-0.2489571;2.41558;-0.1019762;0.3687012;2.842584;
-0.07628655;-0.2999981;2.424787;-0.1041247;0.3671263;2.836854;
-0.02377369;-0.3440259;2.448793;-0.1056726;0.3651583;2.827795;
