Hand.X;Hand.Y;Hand.Z;Ellbogen.X;Ellbogen.Y;Ellbogen.Z;Schulter.X;Schulter.Y;Schulter.Z
0.2619659;-0.516417;3.594553;0.2581085;-0.2422592;3.690732;0.1894649;-0.000472112;3.668549
0.257486;-0.5117592;3.588191;0.2562981;-0.2389584;3.690308;0.1814142;-0.000609953;3.666765
0.2548277;-0.4938531;3.589436;0.2509768;-0.2206256;3.689136;0.1686232;0.004995364;3.668924
0.2544194;-0.4833427;3.589913;0.2501251;-0.2111575;3.69346;0.1661384;0.006056579;3.67032
0.252936;-0.4827753;3.589295;0.2524489;-0.2115705;3.696759;0.1645655;0.008810028;3.673126
0.2771765;-0.4888504;3.60805;0.2550685;-0.2168978;3.70371;0.1614077;0.01517157;3.677751
0.2836491;-0.5187688;3.586342;0.2554031;-0.2177327;3.704403;0.1626523;0.01889078;3.682499
0.2769439;-0.5290019;3.578436;0.2555314;-0.2183337;3.703664;0.161784;0.02239059;3.686508
0.2441939;-0.457883;3.531723;0.2565857;-0.2206768;3.703596;0.1639231;0.02250182;3.6876
0.2466265;-0.4577454;3.529276;0.2610277;-0.237734;3.696562;0.1710245;0.02868627;3.6939
0.2564054;-0.4708747;3.533991;0.2614385;-0.2336228;3.697074;0.1808816;0.03530027;3.701245
0.2616895;-0.4640796;3.52384;0.2652017;-0.2344441;3.704364;0.1880913;0.03431562;3.70107
0.2624031;-0.4650076;3.519829;0.2675597;-0.2331979;3.701397;0.1943788;0.03651824;3.702246
0.2683147;-0.4594552;3.520619;0.2716194;-0.2289339;3.700754;0.2021039;0.03616871;3.702749
0.2767195;-0.4574767;3.49938;0.2779088;-0.2288849;3.698774;0.2081925;0.03643399;3.701204
0.280169;-0.458221;3.507313;0.2959347;-0.2234843;3.677898;0.2152031;0.04029652;3.699129
0.2832884;-0.4628702;3.49971;0.2963389;-0.2196361;3.68212;0.224795;0.03793785;3.700099
0.2950543;-0.4572641;3.503522;0.2987088;-0.220071;3.681306;0.2337173;0.0398563;3.700023
0.2984154;-0.4535815;3.452843;0.3078351;-0.2205898;3.669075;0.2355015;0.03920628;3.698659
0.3009827;-0.4477003;3.450288;0.3106678;-0.2197501;3.668679;0.23854;0.03670825;3.695544
0.3124049;-0.4225377;3.41851;0.3161126;-0.2129591;3.653604;0.2406901;0.03627174;3.694732
0.3146401;-0.4184549;3.404735;0.3175036;-0.2107134;3.652225;0.2436813;0.03602286;3.693558
0.3118008;-0.3791448;3.376935;0.3143088;-0.2074758;3.646867;0.243893;0.03581097;3.692991
0.3139976;-0.3741888;3.361083;0.3105785;-0.1969732;3.649861;0.2439886;0.03644;3.692711
0.3085248;-0.349638;3.33886;0.304324;-0.191329;3.644193;0.2451241;0.03405533;3.69196
0.3083204;-0.3149444;3.312604;0.3007027;-0.1850338;3.640747;0.2451838;0.03412251;3.69161
0.2953176;-0.2769549;3.276611;0.2977819;-0.1832902;3.639158;0.2451065;0.03411569;3.691296
0.2945712;-0.2537427;3.265059;0.2908134;-0.176687;3.617192;0.2442526;0.03317647;3.690406
0.2926;-0.2224284;3.263802;0.2860553;-0.1771336;3.62053;0.240892;0.03390261;3.689116
0.2817134;-0.1988212;3.258667;0.2464353;-0.1883114;3.632734;0.2377139;0.03321418;3.685372
0.2819505;-0.182492;3.268145;0.245002;-0.1917914;3.633514;0.2319198;0.02896303;3.681062
0.2816;-0.1632219;3.259698;0.2403163;-0.1956799;3.632544;0.2303239;0.02914589;3.681099
0.2812029;-0.1578067;3.258909;0.2392359;-0.1969846;3.633799;0.2251714;0.02841939;3.680467
