HandRight.X;HandRight.Y;HandRight.Z;Head.X;Head.Y;Head.Z;
-0.06520801;0.2990938;3.673298;-0.1519425;0.1663617;3.892213;
0.08572681;0.1326323;3.675001;-0.1512744;0.1669891;3.893135;
-0.07062081;0.3015753;3.719105;-0.1488699;0.169396;3.894538;
0.05188629;0.178347;3.702858;-0.1529649;0.1726691;3.906286;
-0.06606221;0.3015825;3.744535;-0.1784475;0.1732971;3.896893;
0.0952495;0.1160684;3.704136;-0.1776268;0.176546;3.891736;
0.08957213;0.1308616;3.69172;-0.177832;0.1772646;3.893117;
0.0839441;0.1430446;3.689556;-0.1815557;0.1754636;3.896529;
0.03678707;0.2426875;3.692693;-0.1893259;0.1751968;3.891668;
0.01171519;0.3291269;3.683113;-0.1929798;0.1817254;3.88788;
0.05365257;0.2211742;3.703906;-0.1939718;0.1813323;3.888465;
0.04635602;0.3355919;3.704752;-0.19421;0.1819345;3.876879;
0.05404682;0.3701499;3.705821;-0.1945927;0.1816416;3.8773;
0.06081423;0.3352833;3.720409;-0.195171;0.1816484;3.877132;
0.0691373;0.3779969;3.719478;-0.2023067;0.1864934;3.857306;
0.09318086;0.3782961;3.741986;-0.2034177;0.1869618;3.861358;
0.1012118;0.2363224;3.735778;-0.2041927;0.1868494;3.860635;
0.09765237;0.3788884;3.768764;-0.2049967;0.1909018;3.86447;
0.1153328;0.3353719;3.767463;-0.2050169;0.1932869;3.86741;
0.155235;0.3437576;3.782316;-0.2093658;0.1914282;3.874789;
0.1613565;0.3104397;3.789392;-0.2087377;0.1930793;3.868561;
0.1694921;0.3197112;3.784485;-0.2120014;0.1936689;3.875077;
0.213285;0.2802275;3.768476;-0.2106079;0.1894587;3.870564;
0.2053166;0.3239133;3.781103;-0.2071365;0.1855591;3.846472;
0.1986025;0.3134475;3.778612;-0.2068937;0.178842;3.842985;
0.1991602;0.3091804;3.789304;-0.2049964;0.181087;3.839914;
0.197716;0.2972997;3.783991;-0.2050264;0.1811574;3.839509;
0.1975462;0.300496;3.779849;-0.2026678;0.1840094;3.840541;
0.1979363;0.2983165;3.775789;-0.2012149;0.1861512;3.842291;
0.1986931;0.2994624;3.773508;-0.2000491;0.1842147;3.840419;
0.1988724;0.2995521;3.775572;-0.1991772;0.1845081;3.840516;
0.1993352;0.2985839;3.774382;-0.1986397;0.1857888;3.84927;
0.1881645;0.3229536;3.787639;-0.1978083;0.186713;3.850893;
0.1888963;0.3192715;3.791733;-0.1936703;0.1892731;3.84298;
0.2009828;0.301809;3.774835;-0.1949271;0.1909966;3.844698;
0.2029565;0.302779;3.772722;-0.1955237;0.1910679;3.845994;
0.2015233;0.2980489;3.765127;-0.196084;0.1916452;3.844311;
0.1814469;0.3195007;3.780339;-0.1960195;0.19181;3.844534;
0.1809673;0.320583;3.78243;-0.1965683;0.1910762;3.842504;
0.1797122;0.3204002;3.79013;-0.1984245;0.1900445;3.843871;
0.1799416;0.3191442;3.792933;-0.1964571;0.1917236;3.842774;
0.1762606;0.319949;3.79522;-0.1995141;0.188721;3.841593;
0.1759662;0.3207335;3.793574;-0.1982846;0.194129;3.820618;
0.1763421;0.3200633;3.794605;-0.1959225;0.1934733;3.835474;
0.1763537;0.3196361;3.79512;-0.1963485;0.1899817;3.834334;
0.1758113;0.3208878;3.78933;-0.1963876;0.1899682;3.834481;
0.176493;0.3203711;3.79168;-0.2002224;0.1843674;3.834121;
0.1757098;0.3239562;3.790431;-0.1989942;0.1823585;3.832439;
0.1758894;0.3301017;3.788619;-0.1983039;0.1823395;3.837653;
0.1757557;0.3308007;3.789853;-0.1982611;0.1821491;3.837914;
0.1753521;0.3299175;3.792647;-0.1979384;0.1869091;3.828783;
0.1752741;0.3309884;3.791929;-0.1972035;0.1873157;3.822381;
0.1753404;0.3314226;3.793612;-0.1960019;0.1900482;3.826802;
0.1751528;0.3323991;3.793536;-0.1957866;0.1923249;3.827586;
0.1747672;0.3326207;3.790902;-0.201116;0.1905055;3.831503;
0.1741969;0.3341415;3.787762;-0.2010127;0.1901278;3.815147;
0.1734191;0.3341601;3.779898;-0.1977998;0.1876142;3.823371;
0.1732784;0.3487308;3.782618;-0.2000656;0.1824824;3.820586;
0.170444;0.3440957;3.782502;-0.2005085;0.1830761;3.821034;
0.1698613;0.3505768;3.785399;-0.1955817;0.1875277;3.823694;
0.169903;0.3447593;3.787803;-0.1978227;0.1865168;3.825863;
0.1694015;0.343814;3.788783;-0.1974991;0.1870759;3.825863;
