HandRight.X;HandRight.Y;HandRight.Z;ElbowRight.X;ElbowRight.Y;ElbowRight.Z;HipCenter.X;HipCenter.Y;HipCenter.Z;
-0.1974488;-0.4473317;3.249715;0.006671274;-0.3154584;3.413871;-0.1695997;-0.4203139;3.445242;
-0.1938489;-0.4473245;3.249362;0.009606425;-0.3145182;3.413711;-0.1693944;-0.4199491;3.445058;
-0.1968626;-0.4458137;3.253361;0.009866089;-0.3145864;3.413425;-0.169425;-0.4199183;3.445061;
-0.2005711;-0.4455818;3.251651;0.006158411;-0.318382;3.414311;-0.1692908;-0.4203596;3.44504;
-0.2025474;-0.4378065;3.249963;0.006029224;-0.3180122;3.414123;-0.1692716;-0.4202123;3.44504;
-0.2035534;-0.4323445;3.249824;0.006126778;-0.3166593;3.414321;-0.1691211;-0.4204484;3.445224;
-0.2723909;-0.4609196;3.226576;0.006400755;-0.3163597;3.414056;-0.1691253;-0.4204412;3.4453;
-0.2701897;-0.4588133;3.229113;0.009111961;-0.3145784;3.415511;-0.1691008;-0.4204391;3.445293;
-0.2065331;-0.4326158;3.250632;0.008880023;-0.3140735;3.415562;-0.1696323;-0.4210911;3.445605;
-0.206241;-0.4327706;3.250238;0.009125665;-0.3130502;3.415803;-0.1693353;-0.4206392;3.445757;
-0.1995922;-0.4387937;3.257183;0.009188895;-0.3131111;3.415992;-0.1692502;-0.4206934;3.445683;
-0.2005015;-0.4399402;3.258385;0.008047055;-0.3130553;3.41653;-0.1690276;-0.4207716;3.445643;
-0.1531126;-0.5060673;3.256144;0.007446934;-0.3123192;3.41664;-0.1685567;-0.4205475;3.445725;
-0.1808954;-0.4762641;3.262414;0.007854141;-0.3095976;3.416898;-0.1685575;-0.4205781;3.445648;
-0.1826653;-0.4675082;3.256762;0.00762114;-0.3095239;3.417692;-0.1687455;-0.420545;3.445733;
-0.1685642;-0.4898392;3.268726;0.009294573;-0.3103021;3.424124;-0.1689587;-0.4205211;3.445557;
-0.1819768;-0.4633229;3.250587;0.00939028;-0.3105012;3.425409;-0.1693477;-0.4196632;3.445518;
-0.1838513;-0.4657394;3.250515;0.007348747;-0.3136131;3.427256;-0.1694532;-0.4199726;3.445417;
-0.209915;-0.3952063;3.233383;0.01694668;-0.3112079;3.439533;-0.1695897;-0.4202107;3.445433;
-0.1278668;-0.3855722;3.223555;0.01660886;-0.3111096;3.442034;-0.16993;-0.4224808;3.446725;
-0.0417228;-0.3834533;3.255619;0.01283155;-0.3099195;3.445812;-0.170769;-0.4226663;3.447117;
0.03166691;-0.3669393;3.259273;0.001356368;-0.3201885;3.460158;-0.1712419;-0.4236147;3.447558;
0.0671991;-0.3529105;3.23246;-0.01229961;-0.3261715;3.472847;-0.1717735;-0.4253647;3.448359;
0.1274688;-0.3245789;3.254089;-0.04020067;-0.357157;3.474661;-0.1726491;-0.4248764;3.44872;
0.1909178;-0.3012585;3.28615;-0.04864038;-0.3580057;3.48058;-0.1740382;-0.4233863;3.449273;
0.2449344;-0.2916235;3.363493;-0.0485076;-0.359054;3.480065;-0.1765558;-0.4246178;3.449437;
0.3021414;-0.2625;3.428418;-0.04266842;-0.3591205;3.485317;-0.1766231;-0.424571;3.449459;
0.3296195;-0.2157799;3.48827;0.0812488;-0.3080196;3.483246;-0.1777545;-0.4235314;3.44937;
0.3241013;-0.2101453;3.498926;0.08165354;-0.3067662;3.485329;-0.1783608;-0.4227885;3.448474;
0.3196429;-0.2065816;3.501314;0.08342445;-0.3024293;3.492265;-0.1786821;-0.4214854;3.448287;
