HandRight.X;HandRight.Y;HandRight.Z;ElbowRight.X;ElbowRight.Y;ElbowRight.Z;HipCenter.X;HipCenter.Y;HipCenter.Z;HandLeft.X;HandLeft.Y;HandLeft.Z;ElbowLeft.X;ElbowLeft.Y;ElbowLeft.Z;
0.3548242;-0.3334423;3.36386;0.1035749;-0.3805062;3.535891;-0.1072798;-0.4108412;3.483651;-0.5258553;-0.3651985;3.284543;-0.3569533;-0.3405391;3.523277;
0.3464789;-0.3335053;3.366129;0.1061219;-0.3800491;3.532232;-0.1076304;-0.4109262;3.483461;-0.5251094;-0.3676939;3.286508;-0.3274128;-0.3079424;3.550905;
0.343626;-0.3345609;3.373533;0.1064013;-0.3804437;3.53333;-0.1076759;-0.4111405;3.483153;-0.5255804;-0.3678778;3.286314;-0.3259936;-0.3091765;3.549121;
0.3410393;-0.3345909;3.373201;0.1068143;-0.3806824;3.533419;-0.1076648;-0.4110526;3.483122;-0.5260973;-0.3679036;3.286349;-0.3265062;-0.3107359;3.547418;
0.34166;-0.335142;3.371408;0.111582;-0.3803412;3.53369;-0.1079711;-0.4111841;3.483045;-0.5257281;-0.3685305;3.285552;-0.332087;-0.319251;3.545699;
0.3410435;-0.335249;3.370618;0.11224;-0.3800356;3.530671;-0.108153;-0.4112757;3.483027;-0.5254006;-0.3693793;3.284175;-0.3550399;-0.3362987;3.527171;
0.340456;-0.3353884;3.370127;0.1120963;-0.3807613;3.531523;-0.108363;-0.4110965;3.482772;-0.525367;-0.3692693;3.283231;-0.3561734;-0.3372068;3.52818;
0.3407588;-0.3353963;3.369763;0.07803236;-0.3814513;3.531409;-0.1087918;-0.4113305;3.482318;-0.5253539;-0.3693918;3.28282;-0.3450778;-0.3304299;3.533933;
0.3416934;-0.3357477;3.367512;0.1157398;-0.3727878;3.539384;-0.1089229;-0.4113362;3.482278;-0.5243756;-0.3709461;3.283908;-0.355819;-0.3352215;3.514529;
0.3373442;-0.3359102;3.370991;0.1086508;-0.3761735;3.534118;-0.1092245;-0.4109308;3.481909;-0.5243263;-0.3707537;3.284124;-0.3542801;-0.3381276;3.536839;
0.3378318;-0.3358859;3.370728;0.1089224;-0.3731573;3.533803;-0.109365;-0.4109253;3.481806;-0.5245433;-0.3707146;3.282938;-0.3455892;-0.3291039;3.537755;
0.3390788;-0.3358832;3.370274;0.1094149;-0.3708507;3.532163;-0.1097474;-0.4106674;3.481537;-0.5245668;-0.370814;3.283223;-0.3457033;-0.3294468;3.537698;
0.3384113;-0.3355351;3.370391;0.1084256;-0.3735726;3.531539;-0.1101231;-0.4107336;3.481558;-0.5248352;-0.3706023;3.282907;-0.3695638;-0.3051483;3.517458;
0.3384499;-0.3354101;3.36947;0.1089752;-0.3740076;3.530626;-0.1108733;-0.4103954;3.481278;-0.5263236;-0.3680378;3.280085;-0.362826;-0.3353874;3.522246;
0.3382535;-0.3353421;3.367895;0.1096455;-0.3728624;3.5305;-0.1110783;-0.410441;3.481305;-0.5263599;-0.3679875;3.280162;-0.3619164;-0.3347725;3.522002;
0.3366477;-0.3347988;3.362154;0.1116408;-0.3721966;3.531297;-0.1117356;-0.4100436;3.480929;-0.5277557;-0.3674842;3.279931;-0.363051;-0.335237;3.523063;
0.336884;-0.3349842;3.363606;0.1104075;-0.3709164;3.530697;-0.1118874;-0.41009;3.480837;-0.5283536;-0.3670635;3.281817;-0.3735899;-0.3029315;3.51767;
0.3373504;-0.3350343;3.364599;0.1113663;-0.374276;3.533513;-0.1123085;-0.4096481;3.480859;-0.5283411;-0.367063;3.281686;-0.3759417;-0.3002411;3.516855;
0.3367162;-0.33507;3.364976;0.1108211;-0.3750618;3.53386;-0.1125085;-0.4098606;3.480887;-0.528603;-0.3669247;3.281738;-0.3770333;-0.2999759;3.518231;
0.3363866;-0.3350037;3.365125;0.1115443;-0.3767985;3.531605;-0.1127311;-0.4099392;3.480775;-0.5291133;-0.3655495;3.286026;-0.3783457;-0.2990522;3.518635;
0.3360229;-0.3348058;3.365356;0.1108275;-0.3778783;3.53093;-0.1130607;-0.409007;3.48059;-0.5288497;-0.3688614;3.289821;-0.3789079;-0.2984837;3.519449;
0.3359761;-0.334767;3.365289;0.1118308;-0.3799;3.532722;-0.1131432;-0.4090916;3.480629;-0.5287775;-0.3687403;3.28992;-0.3793039;-0.2980544;3.51974;
0.3357785;-0.3348136;3.365932;0.1122389;-0.3798981;3.533589;-0.1132011;-0.4091424;3.480608;-0.5293771;-0.3655604;3.286641;-0.3807602;-0.2979679;3.520995;
0.3369997;-0.3348903;3.365662;0.1133215;-0.3795098;3.532656;-0.1132466;-0.4090679;3.480609;-0.5314122;-0.3646156;3.287372;-0.3811187;-0.2978402;3.52057;
0.3371922;-0.3347557;3.365462;0.1138332;-0.379844;3.532836;-0.1135184;-0.4091512;3.480579;-0.5313276;-0.3636007;3.285075;-0.3832524;-0.2968999;3.517902;
0.3378282;-0.334948;3.366113;0.1129772;-0.3792064;3.528513;-0.1137542;-0.4089276;3.480685;-0.5273213;-0.3659129;3.291512;-0.3834664;-0.2968964;3.517447;
0.3377649;-0.3351474;3.36709;0.1114905;-0.3797532;3.530265;-0.1137439;-0.4087835;3.480621;-0.5282336;-0.3654979;3.291458;-0.3833714;-0.2969369;3.516979;
0.3377629;-0.3351474;3.367099;0.1119565;-0.3801022;3.531143;-0.1138515;-0.4088094;3.480653;-0.5288083;-0.3652124;3.290599;-0.3832904;-0.2970813;3.516094;
0.3400812;-0.3347817;3.362203;0.1172625;-0.3811356;3.529714;-0.1138126;-0.40869;3.480611;-0.531388;-0.3631727;3.281599;-0.3836237;-0.296825;3.516404;
0.3380129;-0.3356519;3.364401;0.1136479;-0.3794594;3.530048;-0.1138152;-0.4079885;3.480722;-0.5311001;-0.3632021;3.280768;-0.3830897;-0.2954611;3.516578;
0.3394324;-0.3355213;3.364524;0.1152733;-0.3799362;3.530861;-0.1138892;-0.4080629;3.480654;-0.5304319;-0.3637427;3.280376;-0.3829123;-0.2957273;3.516537;
0.3389639;-0.335452;3.364498;0.1148943;-0.3803529;3.531248;-0.1138084;-0.4076994;3.480907;-0.5308118;-0.3642379;3.281719;-0.3831698;-0.2968001;3.518241;
0.3486192;-0.3349589;3.364228;0.1184664;-0.3797342;3.529966;-0.1140086;-0.4080741;3.480547;-0.5308645;-0.3643319;3.281729;-0.3826182;-0.2977059;3.518824;
0.3469187;-0.3347671;3.362095;0.1183048;-0.3791279;3.529096;-0.1139917;-0.4079499;3.48062;-0.5304684;-0.3637269;3.28119;-0.3822632;-0.2976084;3.518809;
0.3406627;-0.3353748;3.365409;0.1155183;-0.3803861;3.530416;-0.1138035;-0.4080445;3.480776;-0.5292674;-0.3648705;3.282248;-0.3768044;-0.3295664;3.536339;
0.3476187;-0.3361401;3.361721;0.08154422;-0.3734896;3.535704;-0.1137948;-0.4080933;3.480889;-0.5279385;-0.3648711;3.27902;-0.3581845;-0.3138247;3.556677;
0.3461317;-0.3365717;3.363214;0.09557988;-0.3735989;3.530321;-0.1141475;-0.4079384;3.480784;-0.5277998;-0.3651226;3.278342;-0.3660285;-0.3336875;3.543926;
0.3460503;-0.3365965;3.36322;0.1021642;-0.371315;3.527068;-0.1139418;-0.4076568;3.480617;-0.5276645;-0.3653499;3.2781;-0.3751742;-0.2938557;3.524313;
0.3453242;-0.3364996;3.363229;0.1080123;-0.375011;3.526834;-0.113929;-0.4081123;3.480649;-0.5276841;-0.3651824;3.277134;-0.3631741;-0.3428043;3.519798;
0.3449756;-0.3363798;3.363526;0.1081441;-0.3747819;3.527025;-0.1136624;-0.4083192;3.48083;-0.5276188;-0.3652552;3.277341;-0.3726895;-0.3038808;3.52122;
0.335526;-0.3390754;3.370884;0.1034514;-0.3799642;3.532282;-0.1135991;-0.4081647;3.480667;-0.5285468;-0.3656987;3.277698;-0.3682451;-0.3295155;3.522175;
0.3382756;-0.3405215;3.370121;0.1072969;-0.3727169;3.530068;-0.1135109;-0.4082428;3.480626;-0.5282114;-0.3658881;3.277198;-0.3466625;-0.3200313;3.538327;
0.338535;-0.340357;3.368838;0.1074708;-0.3702879;3.530307;-0.1133138;-0.4081037;3.480674;-0.5284803;-0.3648871;3.27662;-0.3710287;-0.3011716;3.523789;
0.3371417;-0.339642;3.369287;0.1063576;-0.3748427;3.533902;-0.1132136;-0.4080852;3.480612;-0.5289633;-0.3636762;3.280389;-0.3628851;-0.3256587;3.53448;
0.3359019;-0.3401313;3.369336;0.1062431;-0.3740621;3.533748;-0.1132646;-0.408138;3.480552;-0.5292339;-0.3634699;3.278908;-0.3718084;-0.3114771;3.520447;
0.3395842;-0.3407238;3.367556;0.1116025;-0.3776494;3.529942;-0.1132253;-0.4082153;3.480453;-0.5288772;-0.3637255;3.284609;-0.3734766;-0.3084169;3.520559;
0.3391267;-0.340578;3.369266;0.1099147;-0.3774041;3.530773;-0.1131491;-0.4082705;3.480427;-0.529157;-0.3637694;3.283465;-0.3728319;-0.3038162;3.51979;
